data_base,faixa,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2016-12-01,Faixa1,178127958151.97,2870944400.23,2984741,59679.53606425817
2016-12-01,Faixa2,70306821119.76,926046609.97,801187,87753.32240757775
2016-12-01,Faixa3,100535356483.9,1353804863.97,799689,125718.06850400592
2016-12-01,Sem Renda,15252732187.97,20956434.82,187977,81141.48107465275
2016-12-01,alta,159674610585.26,2156526743.11,717653,222495.5662210846
2017-01-01,Faixa1,197303696017.42,3204237438.2,3197968,61696.58233522662
2017-01-01,Faixa2,70698956712.7,1010249034.12,801065,88256.20481821075
2017-01-01,Faixa3,101467383342.67,1438447134.78,801095,126660.86212330623
2017-01-01,Sem Renda,331203500.26,12174842.54,14944,22162.97512446467
2017-01-01,alta,155913856863.44,2263116448.54,696793,223759.2181084483
2017-02-01,Faixa1,208134669605.84,3795863483.22,3326008,62577.922123410404
2017-02-01,Faixa2,69975550042.74,1138636932.49,768892,91008.29510872789
2017-02-01,Faixa3,100476972833.52,1596045850.66,770679,130374.60840832566
2017-02-01,Sem Renda,312725896.39,11183571.700000001,14126,22138.31915545802
2017-02-01,alta,150256688480.1,2381835864.27,660186,227597.50809635466
2017-03-01,Faixa1,186859754457.01,3889725696.92,3100390,60269.757823051295
2017-03-01,Faixa2,80099384032.29,1271796653.03,879606,91062.79860788806
2017-03-01,Faixa3,106861792053.6,1611136879.69,842337,126863.46682337354
2017-03-01,Sem Renda,365858320.69,17860754.05,12153,30104.362765572285
2017-03-01,alta,157744527715.78,2193655185.19,714232,220858.94739493608
2017-04-01,Faixa1,189119224081.78,4328995195.37,3122498,60566.6437838487
2017-04-01,Faixa2,80470576012.31,1407142115.69,882339,91201.42712983332
2017-04-01,Faixa3,107084249719.59,1725581050.72,843910,126890.60411606687
2017-04-01,Sem Renda,388326099.32,21322893.45,11223,34600.91769758532
2017-04-01,alta,158028804806.51,2264694322.96,715584,220838.9298901457
2017-05-01,Faixa1,191637465559.53,4422873825.66,3140855,61014.42618635053
2017-05-01,Faixa2,80321288842.44,1457033926.68,881495,91119.3924440184
2017-05-01,Faixa3,107028949932.33,1759605190.8600001,844535,126731.21887468253
2017-05-01,Sem Renda,379177121.34,17213753.46,10129,37434.80317306743
2017-05-01,alta,158699005977.86,2267827644.61,719131,220681.63655559276
2017-06-01,Faixa1,194496719179.31,3408488353.93,3164769,61456.84540619236
2017-06-01,Faixa2,81385545616.02,1123043197.14,890609,91381.903412182
2017-06-01,Faixa3,109456105736.02,1459124322.6299999,860488,127202.36160878479
2017-06-01,Sem Renda,165387714.44,3444351.23,827,199985.14442563482
2017-06-01,alta,156467021808.11,1835033109.98,707600,221123.54693062464
2017-07-01,Faixa1,192263430562.22,3977422858.73,3140850,61213.82127838642
2017-07-01,Faixa2,83442104286.44,1317228070.41,914000,91293.3307291466
2017-07-01,Faixa3,110996052869.77,1686253762.67,876352,126656.92880231916
2017-07-01,Sem Renda,178029845.74,5313444.04,1002,177674.496746507
2017-07-01,alta,159042311021.83,2094535208.74,722870,220015.0940305034
2017-08-01,Faixa1,195016330587.36002,3906245829.67,3167154,61574.628384777
2017-08-01,Faixa2,84040198499.64,1302503223.35,919420,91405.66715933959
2017-08-01,Faixa3,111080748640.39,1622945528.4,877518,126585.15111985167
2017-08-01,Sem Renda,184036643.9,6219793.8,1180,155963.25754237288
2017-08-01,alta,159140967213.91,1997933432.97,723152,220065.7223016876
2017-09-01,Faixa1,197099579782.47,3891787711.8,3186329,61857.88717438469
2017-09-01,Faixa2,84288886241.1,1317899724.29,920633,91555.36054117113
2017-09-01,Faixa3,111077957335.07,1603531726.91,877824,126537.8450977303
2017-09-01,Sem Renda,279949223.77,15129738.52,1959,142904.1468963757
2017-09-01,alta,159001972219.31,1960812528.1399999,722934,219939.8177694091
2017-10-01,Faixa1,193922532376.31,4067130934.33,3137453,61808.90434894483
2017-10-01,Faixa2,86440456075.26,1359711311.36,947985,91183.35846586179
2017-10-01,Faixa3,111343627059.26,1577100261.02,891823,124849.4679541344
2017-10-01,Sem Renda,255178308.48,6870798.36,1357,188045.9163448784
2017-10-01,alta,161491783397.51,1950582519.81,738260,218746.48958024275
2017-11-01,Faixa1,194333728479.48,3992341403.63,3130647,62074.62178887623
2017-11-01,Faixa2,87940409267.46,1359477007.18,964993,91130.61884123512
2017-11-01,Faixa3,112021806694.67,1611327446.6200001,900557,124391.68947070534
2017-11-01,Sem Renda,256394552.18,7146914.58,1378,186062.81
2017-11-01,alta,161314828740.18,1910185111.39,739028,218279.72517980373
2017-12-01,Faixa1,195710483951.64,3194297400.52,3139168,62344.69896215813
2017-12-01,Faixa2,88433678501.73,1071262960.22,970236,91146.56485816852
