data_base,regiao,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2016-12-01,nordeste,79289625090.29,1648751801.4,1011821,78363.2926083665
2016-12-01,norte,16704852522.92,431735150.12,181491,92042.31902915296
2016-12-01,sudeste,267620890531.0,3178717733.21,2511073,106576.30842711462
2016-12-01,sul,101816341317.92,926881678.47,1163129,87536.58563918533
2017-01-01,centro-oeste,58571447695.05,1223458020.63,625026,93710.41795869292
2017-01-01,nordeste,79713110230.68,1748974113.37,1020429,78117.25287176276
2017-01-01,norte,16771756530.9,442218083.36,181503,92404.84471826912
2017-01-01,sudeste,268461529728.74,3494505797.5299997,2518523,106594.82948090606
2017-01-01,sul,102197252251.12,1019068883.29,1166384,87618.87358804647
2017-02-01,centro-oeste,58921355085.9,1361540255.41,628473,93753.20035371448
2017-02-01,nordeste,80379446501.59,1955267307.41,1026530,78302.09200080855
2017-02-01,norte,16857725588.32,483472907.67,181987,92631.48240434757
2017-02-01,sudeste,270212821928.81,3898281899.0,2531514,106739.6119195114
2017-02-01,sul,102785257753.97,1225003332.85,1171387,87746.626651969
2017-03-01,centro-oeste,59264860583.05,1344264291.32,630474,94000.48310168223
2017-03-01,nordeste,81073674006.85,2051612752.81,1025798,79034.73589035074
2017-03-01,norte,16954713075.69,487785129.39,181224,93556.66509783473
2017-03-01,sudeste,271276667315.06,3896042083.53,2536677,106941.74595940279
2017-03-01,sul,103361401598.72,1204470911.83,1174545,88001.22736780626
2017-04-01,centro-oeste,59662999533.32,1442480876.54,634268,94065.91461861547
2017-04-01,nordeste,81641292620.6,2267158339.99,1030667,79212.0952942124
2017-04-01,norte,17035651830.88,524084374.44,181765,93723.49919335406
2017-04-01,sudeste,272759710698.09,4208502007.22,2548697,107019.27718284677
2017-04-01,sul,103991526036.62,1305509980.0,1180157,88116.68789544102
2017-05-01,centro-oeste,60006788613.39,1443844286.86,637520,94125.34291220667
2017-05-01,nordeste,82247765463.98,2362297930.95,1033497,79582.00697629504
2017-05-01,norte,17097730003.54,522477339.46,181586,94157.75447193066
2017-05-01,sudeste,274123123344.02,4286151181.15,2559067,107118.38468630168
2017-05-01,sul,104590480008.57,1309783602.85,1184475,88301.12919949346
2017-06-01,centro-oeste,60477929707.38,1164383028.04,641773,94235.70282230632
2017-06-01,nordeste,82979915343.57,1996281142.1399999,1038201,79926.63785102307
2017-06-01,norte,17201757549.66,421282130.81,182105,94460.6548401197
2017-06-01,sudeste,275970050869.03,3289497150.68,2571556,107316.3683268146
2017-06-01,sul,105341126584.26,957689883.24,1190658,88473.0347289146
2017-07-01,centro-oeste,60900914994.63,1287000847.93,645430,94357.11850182049
2017-07-01,nordeste,83659351747.71,2272446022.47,1042587,80242.08219334214
2017-07-01,norte,17312976574.25,475253377.44,182499,94866.14487887605
2017-07-01,sudeste,277938587672.42,3840657414.5,2587675,107408.6149429198
2017-07-01,sul,106110097596.99,1205395682.25,1196883,88655.36363787438
2017-08-01,centro-oeste,61320772623.46,1268240846.05,649863,94359.53827723689
2017-08-01,nordeste,84273022732.84,2203532050.63,1047909,80420.17267991781
2017-08-01,norte,17404802105.35,487135509.67,183208,95000.22982266058
2017-08-01,sudeste,279615055445.85,3691806542.35,2603413,107403.26465522373
2017-08-01,sul,106848628677.7,1185132859.49,1204031,88742.42330778859
2017-09-01,centro-oeste,61514708497.82,1297988561.53,652229,94314.58659124326
2017-09-01,nordeste,84678350230.56,2277466817.1,1052257,80473.06906065723
2017-09-01,norte,17439265989.18,492462015.48,183546,95013.05388937923
2017-09-01,sudeste,280784964885.09,3566739545.16,2612920,107460.22261879049
2017-09-01,sul,107331055199.06999,1154504490.39,1208727,88796.77147864654
2017-10-01,centro-oeste,61780357155.89,1347576182.52,651668,94803.42314781454
2017-10-01,nordeste,85044799670.08,2294702477.7400002,1049633,81023.36690069767
2017-10-01,norte,17453740353.1,475979223.67,183371,95182.66439676938
2017-10-01,sudeste,281452947410.25,3652609328.71,2619461,107446.8936205769
2017-10-01,sul,107721732627.5,1190528612.24,1212745,88824.7179971882
2017-11-01,centro-oeste,62056797501.29,1332423838.72,652197,95150.38784491496
2017-11-01,nordeste,85502852003.28,2274806540.02,1046663,81690.90911141409
2017-11-01,norte,17493738888.56,463552483.03,183692,95234.08144372102
2017-11-01,sudeste,282518278346.68,3662725837.38,2633767,107267.75692256755
2017-11-01,sul,108295500994.16,1146969184.25,1220284,88746.14515486559
2017-12-01,centro-oeste,62278120796.4,1075371377.97,654447,95161.44286153042
2017-12-01,nordeste,85830576869.29,1848325698.56,1048127,81889.48177967936
2017-12-01,norte,17500487723.15,396842070.18,183722,95255.26460168081
2017-12-01,sudeste,283315478637.9,2905148546.42,2642813,107202.24194367896
2017-12-01,sul,108724949180.95,882584737.78,1225241,88737.60279075708
2018-01-01,centro-oeste,62612154149.32,1416802909.9,658509,95081.69842677929
2018-01-01,nordeste,86030044010.46,2412032297.86,1048919,82017.81454093214
2018-01-01,norte,17303578156.87,491162068.95,182011,95068.85933745762
2018-01-01,sudeste,284119293758.35,3917413371.42,2650851,107180.40876622261
2018-01-01,sul,109731800482.06,1306486300.11,1234964,88854.25039277258
2018-02-01,centro-oeste,62803435058.5,1520590317.85,661570,94930.89931299786
2018-02-01,nordeste,86385934178.43,2609062473.89,1055041,81879.22002882352
2018-02-01,norte,17355064079.79,513198052.16,182768,94956.79812543772
2018-02-01,sudeste,284983967753.1,4045792262.81,2662662,107029.71978910579
2018-02-01,sul,110119695675.98,1440620841.94,1240227,88789.95190072463
2018-03-01,centro-oeste,63142191516.04,1505411056.18,664986,94952.662937325
