data_base,ocupacao,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2022-11-01,PF - Servidor ou empregado público,150468470981.79,1185985809.46,1176835,127858.59613436888
2022-12-01,PF - Aposentado/pensionista,22784460034.71,248583768.6,249074,91476.66972349583
2022-12-01,PF - Autônomo,56382770922.590004,1102067618.77,409492,137689.55418564955
2022-12-01,PF - Empregado de empresa privada,339672530724.63,3737677162.99,2927463,116029.6580092148
2022-12-01,PF - Empregado de entidades sem fins lucrativos,993364598.84,9578822.74,8218,120876.685183743
2022-12-01,PF - Empresário,155694978238.74,1925832412.08,727393,214045.1973537551
2022-12-01,PF - MEI,17181048108.24,308745473.07,157737,108922.11788128341
2022-12-01,PF - Outros,180264488967.39,4354897428.56,1965431,91717.5362388148
2022-12-01,PF - Servidor ou empregado público,151150652198.29,1131164689.24,1175479,128586.43344397476
2023-01-01,PF - Aposentado/pensionista,22922966121.96,273177877.69,249556,91854.99896600362
2023-01-01,PF - Autônomo,56890114281.55,1248786784.76,410362,138633.97264256925
2023-01-01,PF - Empregado de empresa privada,342817022567.97003,4226077811.99,2941537,116543.50177066277
2023-01-01,PF - Empregado de entidades sem fins lucrativos,1000952223.92,10692717.36,8248,121356.96216294859
2023-01-01,PF - Empresário,157330181477.27,2207370510.28,728970,215825.3171972372
2023-01-01,PF - MEI,17383456278.47,342548730.14,158639,109578.70560498995
2023-01-01,PF - Outros,181604080452.12,4793235287.45,1969831,92192.72133097712
2023-01-01,PF - Servidor ou empregado público,152201502725.13,1244021123.01,1177905,129213.73347182498
2023-02-01,PF - Aposentado/pensionista,22897444447.25,291839515.88,250287,91484.75329222053
2023-02-01,PF - Autônomo,57195217223.69,1341030198.54,410615,139291.5924252402
2023-02-01,PF - Empregado de empresa privada,347084012712.33,4699138461.9800005,2972300,116772.87377193756
2023-02-01,PF - Empregado de entidades sem fins lucrativos,1008391613.27,12109062.06,8302,121463.69709347145
2023-02-01,PF - Empresário,158618309500.29,2343776684.13,729672,217383.02895039142
2023-02-01,PF - MEI,17599089517.66,396339721.65,159908,110057.59260112065
2023-02-01,PF - Outros,181133770849.83002,5244283035.58,1954447,92677.76043547357
2023-02-01,PF - Servidor ou empregado público,152996189054.9,1349285299.92,1181163,129530.12332328391
2023-03-01,PF - Aposentado/pensionista,22866815977.95,280407021.67,247048,92560.21492968978
