data_base,renda,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2017-05-01,Sem Renda,379177121.34,17213753.46,10129,37434.80317306743
2017-05-01,alta,158699005977.86,2267827644.61,719131,220681.63655559276
2017-05-01,baixa,191637465559.53,4422873825.66,3140855,61014.42618635053
2017-05-01,media,187350238774.77,3216639117.54,1726030,108544.02227931727
2017-06-01,Sem Renda,165387714.44,3444351.23,827,199985.14442563482
2017-06-01,alta,156467021808.11,1835033109.98,707600,221123.54693062464
2017-06-01,baixa,194496719179.31,3408488353.93,3164769,61456.84540619236
2017-06-01,media,190841651352.04,2582167519.77,1751097,108984.05476797688
2017-07-01,Sem Renda,178029845.74,5313444.04,1002,177674.496746507
2017-07-01,alta,159042311021.83,2094535208.74,722870,220015.0940305034
2017-07-01,baixa,192263430562.22,3977422858.73,3140850,61213.82127838642
2017-07-01,media,194438157156.21,3003481833.08,1790352,108603.3121733659
2017-08-01,Sem Renda,184036643.9,6219793.8,1180,155963.25754237288
2017-08-01,alta,159140967213.91,1997933432.97,723152,220065.7223016876
2017-08-01,baixa,195016330587.36002,3906245829.67,3167154,61574.628384777
2017-08-01,media,195120947140.03,2925448751.75,1796938,108585.24175014942
2017-09-01,Sem Renda,279949223.77,15129738.52,1959,142904.1468963757
2017-09-01,alta,159001972219.31,1960812528.1399999,722934,219939.8177694091
2017-09-01,baixa,197099579782.47,3891787711.8,3186329,61857.88717438469
2017-09-01,media,195366843576.17,2921431451.2,1798457,108630.25558919119
2017-10-01,Sem Renda,255178308.48,6870798.36,1357,188045.9163448784
2017-10-01,alta,161491783397.51,1950582519.81,738260,218746.48958024275
2017-10-01,baixa,193922532376.31,4067130934.33,3137453,61808.90434894483
2017-10-01,media,197784083134.52,2936811572.38,1839808,107502.56718881534
2017-11-01,Sem Renda,256394552.18,7146914.58,1378,186062.81
2017-11-01,alta,161314828740.18,1910185111.39,739028,218279.72517980373
2017-11-01,baixa,194333728479.48,3992341403.63,3130647,62074.62178887623
2017-11-01,media,199962215962.13,2970804453.8,1865550,107186.73633091045
2017-12-01,Sem Renda,274936870.35,6964930.27,1546,177837.5616752911
2017-12-01,alta,161102070679.13998,1544496284.79,740313,217613.45630718357
2017-12-01,baixa,195710483951.64,3194297400.52,3139168,62344.69896215813
2017-12-01,media,200562121706.56,2362513815.33,1873323,107062.22136095057
2018-01-01,Sem Renda,464128746.38,34923195.75,3363,138010.3319595599
2018-01-01,alta,160489856814.83002,2063400401.98,736894,217792.32401787778
2018-01-01,baixa,196901929861.88,4301847773.63,3149366,62521.132780972424
2018-01-01,media,201940955133.97,3143725576.88,1885631,107094.63046267802
2018-02-01,Sem Renda,436254755.61,61094852.55,3260,133820.4771809816
2018-02-01,alta,160622338420.94,2082443587.58,738743,217426.5453898582
2018-02-01,baixa,198769779200.21,4768308248.0,3171065,62682.341484709395
2018-02-01,media,201819724369.04,3217417260.52,1889200,106828.14120741055
2018-03-01,Sem Renda,489020859.46,67149063.75,3939,124148.47917237876
2018-03-01,alta,161569944715.98,1964201683.8700001,746232,216514.3611048307
2018-03-01,baixa,198710583463.26,4543630204.64,3166471,62754.588140317726
2018-03-01,media,203559443449.66,3152502722.37,1911152,106511.38342196749
2018-04-01,Sem Renda,487596959.41,52273187.26,3924,124260.18333588175
2018-04-01,alta,161837382536.88,1937336287.07,748617,216181.81598451544
2018-04-01,baixa,200096332759.23,4619561499.85,3182099,62881.8690930829
2018-04-01,media,204443309763.57,3141904797.17,1920452,106455.82902544297
2018-05-01,Sem Renda,603207612.24,45606219.75,5881,102568.8849243326
2018-05-01,alta,162234744041.78,1902952706.75,751675,215830.9695570293
2018-05-01,baixa,201551946319.32,4615210116.88,3193071,63121.6613471232
2018-05-01,media,205468265391.38,3170701594.56,1931217,106393.15281057489
2018-06-01,Sem Renda,393330503.18,23895134.02,2464,159630.88603084415
2018-06-01,alta,163201896457.77,1691165325.7,758224,215242.32477179565
2018-06-01,baixa,203637890365.68,4292845501.91,3218558,63269.914777263606
2018-06-01,media,205979490839.45,2880174758.47,1933611,106525.81664018772
