data_base,regime,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2014-09-01,Empresa_Privada,82066998261.05,920320756.98,820308,100044.12764601833
2014-09-01,Empresario,51007731897.42,801559426.26,360132,141636.21088217653
2014-09-01,Setor_Publico,58214646791.96,408288357.77,545947,106630.58280741537
2014-09-01,outro,196655905061.4,3549623539.37,2509160,78375.19530894801
2014-10-01,Aposentado,4571763605.9,54734292.0,63507,71988.34153557874
2014-10-01,Empresa_Privada,83479597023.73,1079609743.73,825563,101118.38469472347
2014-10-01,Empresario,52017938539.03,904862328.4,363808,142981.84355217588
2014-10-01,Setor_Publico,59198654952.07,494594374.47,549976,107638.61505242047
2014-10-01,outro,202398070145.86,4120469723.9,2554332,79237.18222449548
2014-11-01,Aposentado,4594027713.1,51913281.46,63450,72403.90406776991
2014-11-01,Empresa_Privada,84778111746.7,1035494273.49,830634,102064.3409091128
2014-11-01,Empresario,53034335345.23,890086624.43,367426,144340.18100305912
2014-11-01,Setor_Publico,60115020370.32,476200973.22,553803,108549.46681458931
2014-11-01,outro,207369917914.71,4035021049.05,2595601,79892.83326470824
2014-12-01,Aposentado,4634781885.69,46217708.25,63414,73087.67599725613
2014-12-01,Empresa_Privada,86025764486.71,834050980.4,835626,102947.68770563626
2014-12-01,Empresario,53924389062.59,762660929.65,371051,145328.7797704089
2014-12-01,Setor_Publico,61037178545.54,389065933.02,557531,109477.64078686207
2014-12-01,outro,212766802490.92,3438616603.17,2639650,80604.17195117535
2015-01-01,Aposentado,4665209370.62,48333869.77,63382,73604.64123284213
2015-01-01,Empresa_Privada,87197440020.31,955231943.99,840426,103753.85818657442
2015-01-01,Empresario,54733956236.76,907746768.21,374311,146225.88231914103
2015-01-01,Setor_Publico,61950931013.01,452975815.26,561196,110390.89910300501
2015-01-01,outro,217342405466.92,4085475703.8,2677659,81168.81405246897
2015-02-01,Aposentado,4677839266.36,51751242.48,63271,73933.38601191698
2015-02-01,Empresa_Privada,87764617977.7,1025839823.56,842068,104225.0958090083
2015-02-01,Empresario,55225920000.29,1009024323.18,376082,146845.42200980106
2015-02-01,Setor_Publico,62389753512.71,486486273.19,563045,110807.75695141595
2015-02-01,outro,220773379668.12,4518586726.6,2709019,81495.69259873038
2015-03-01,Aposentado,4699481873.08,46295406.52,63219,74336.54238567519
2015-03-01,Empresa_Privada,88811935712.47,969416315.91,844928,105111.83877498438
2015-03-01,Empresario,55947555403.89,1004127186.7,378644,147757.67053984746
2015-03-01,Setor_Publico,63192440699.64,451851678.44,565933,111660.6395096946
2015-03-01,outro,225863817092.74,4347610226.86,2750040,82131.10249041468
2015-04-01,Aposentado,4750278300.12,48899096.57,63431,74888.90763380681
2015-04-01,Empresa_Privada,89895292098.47,1045558558.03,848785,105910.55697081122
2015-04-01,Empresario,56600619234.74,1083522754.98,381403,148401.08555711413
2015-04-01,Setor_Publico,64288919320.47,499843008.95,573721,112056.06788050289
2015-04-01,outro,231078554100.75,4819716321.45,2789801,82829.76244569058
2015-05-01,Aposentado,4758466999.2699995,53620746.08,63334,75132.89858954116
2015-05-01,Empresa_Privada,90414316332.99,1095331538.05,849879,106384.92812858066
2015-05-01,Empresario,57043109326.14,1108413387.56,382739,149039.1868248075
2015-05-01,Setor_Publico,64717852395.38,519951954.4,575200,112513.65159141168
2015-05-01,outro,235135409715.51,5082158633.19,2824473,83249.30339766393
2015-06-01,Aposentado,4766541642.17,45774355.65,63243,75368.68336685484
2015-06-01,Empresa_Privada,90948188014.37,965246750.94,851009,106871.00608145155
2015-06-01,Empresario,57445235570.5,1011040320.36,384108,149554.90531439075
2015-06-01,Setor_Publico,65155110945.4,450220298.01,576662,112986.65586669488
2015-06-01,outro,239257174239.8,4595038291.37,2860682,83636.41056216664
2015-07-01,Aposentado,4774168424.2300005,47398287.24,63046,75725.15979173937
2015-07-01,Empresa_Privada,91557026218.83,1011288187.25,852512,107396.75948119206
2015-07-01,Empresario,57847935662.18,1102878634.38,385573,150031.08532542476
2015-07-01,Setor_Publico,65552491288.3,468033333.84,578042,113404.37422938127
2015-07-01,outro,243690304007.71,4844923708.27,2899575,84043.45602638663
2015-08-01,Aposentado,4779251002.22,49465027.21,63298,75503.98120351354
2015-08-01,Empresa_Privada,92083333516.07,1029840470.74,855668,107615.72656225313
2015-08-01,Empresario,58198680460.76,1118622334.36,387797,150075.11780844102
2015-08-01,Setor_Publico,66021947296.58,488540702.04,583067,113232.17965787809
2015-08-01,outro,247602030188.56,4933403674.61,2946502,84032.53423502173
2015-09-01,Aposentado,4766025613.559999,49888518.39,62944,75718.50555350787
2015-09-01,Empresa_Privada,92364866718.9,1041904664.37,854432,108100.89827967585
2015-09-01,Empresario,58479107559.49,1149502106.16,388348,150584.2892444148
2015-09-01,Setor_Publico,66196504372.19,483376840.66,581985,113742.62974507935
2015-09-01,outro,251210102904.23,4925295511.4,2976816,84388.85806318899
2015-10-01,Aposentado,4766299927.72,52839097.62,62858,75826.46485284292
2015-10-01,Empresa_Privada,92923589010.43,1228464074.51,856478,108495.00980810948
2015-10-01,Empresario,58738707575.8,1337147683.98,389483,150811.99327262037
2015-10-01,Setor_Publico,66504619561.31,580289208.46,583109,114051.78030404264
2015-10-01,outro,254671348648.35,5807145483.61,3004857,84753.2340635012
2015-11-01,Aposentado,4749714224.71,56570057.6,62446,76061.14442414246
2015-11-01,Empresa_Privada,93207900485.55,1284501369.3,856004,108887.22539328088
2015-11-01,Empresario,58736796068.520004,1391813037.3,388496,151190.22092510606
2015-11-01,Setor_Publico,66755787221.64,605715034.84,583223,114460.14169818406
2015-11-01,outro,257932509389.22,6034509409.75,3032350,85060.26988613451
2015-12-01,Aposentado,4747250954.0,50094794.63,62318,76177.8451490741
2015-12-01,Empresa_Privada,93701091853.99,1091592211.69,857233,109306.44510184512
2015-12-01,Empresario,59039614237.06,1255625421.76,390617,151144.50788639512
2015-12-01,Setor_Publico,67101816431.41,510320778.91,584156,114869.686233489
2015-12-01,outro,262303849522.15,5508294200.7,3116255,84172.78095731896
2016-01-01,Aposentado,14922202052.22,163524785.16,170100,87726.0555686067
2016-01-01,Empresa_Privada,126784758354.49,1069061103.26,1252225,101247.58598054663
2016-01-01,Empresario,76509301806.63,1366339671.02,446570,171326.55979270887
2016-01-01,Setor_Publico,92084388107.56,684454447.97,839889,109638.75953555768
2016-01-01,outro,179379087142.46,5611843537.87,2342196,76585.85666718755
2016-02-01,Aposentado,14899924205.68,171563702.51,169837,87730.73126397663
2016-02-01,Empresa_Privada,127572377505.15,1119184569.42,1258443,101373.18695018368
2016-02-01,Empresario,76689641537.07,1464810830.1,447263,171464.30967254168
2016-02-01,Setor_Publico,92489463063.18,728848258.84,842411,109791.3762559843
2016-02-01,outro,180798171387.36,5835166323.38,2360907,76579.96328841415
2016-03-01,Aposentado,14946005447.6,164616508.3,170404,87709.24067275417
2016-03-01,Empresa_Privada,128886994611.29,1082359410.33,1267149,101714.15880160106
2016-03-01,Empresario,77053797847.95,1403319007.05,448600,171765.0420150468
2016-03-01,Setor_Publico,93285621679.7,704259739.72,848027,110003.12688121958
2016-03-01,outro,182647122872.18,5603658727.0,2393755,76301.51075284647
2016-04-01,Aposentado,14677226435.77,171718060.56,167358,87699.58075365385
2016-04-01,Empresa_Privada,129396213886.46,1146264017.82,1267914,102054.40896343128
2016-04-01,Empresario,76888152391.05,1456945117.79,444764,172874.0464404718
2016-04-01,Setor_Publico,92601676999.51,748286796.99,838233,110472.47841532127
2016-04-01,outro,183835022267.59,5773093149.06,2409815,76285.94820249273
2016-05-01,Aposentado,14665217221.57,172237441.99,167087,87769.9475217701
2016-05-01,Empresa_Privada,130598127817.26,1139142448.73,1276525,102307.53633282545
2016-05-01,Empresario,77001440641.95999,1442671201.98,445657,172781.84936388297
2016-05-01,Setor_Publico,93198746461.81,763925882.94,841727,110723.2469218761
2016-05-01,outro,185335525789.47,5764561202.78,2427056,76362.27832792899
2016-06-01,Aposentado,14683355237.14,142828084.62,168671,87053.22928742936
2016-06-01,Empresa_Privada,131822076116.5,868091565.41,1293189,101935.6614667307
2016-06-01,Empresario,77233595760.71,1150998107.66,449150,171955.0167220528
2016-06-01,Setor_Publico,93963048994.13,622232387.52,853544,110085.77061537543
2016-06-01,outro,187371702875.35,4608240353.18,2571343,72869.19826540061
2016-07-01,Aposentado,14679339479.57,153698118.48,168408,87165.33347329106
2016-07-01,Empresa_Privada,133163022415.16,950581466.66,1302068,102270.40555113865
2016-07-01,Empresario,77581024365.72,1221627439.89,450649,172153.99205528028
2016-07-01,Setor_Publico,94624847761.39,659050938.44,856804,110439.31606457253
2016-07-01,outro,189196939273.23,4927716730.21,2586912,73136.20999602228
2016-08-01,Aposentado,14686012211.52,149648720.39000002,168264,87279.58571958351
2016-08-01,Empresa_Privada,134659618500.38,953735534.88,1311972,102639.0948132887
2016-08-01,Empresario,77923193358.73,1260338351.38,451856,172451.38574840213
2016-08-01,Setor_Publico,95409370521.65,689701953.34,860408,110888.52093617214
2016-08-01,outro,191205409343.03,4928505396.78,2605207,73393.55734228797
2016-09-01,Aposentado,14684716369.43,160204456.51,168392,87205.54640024467
2016-09-01,Empresa_Privada,135886474151.47,1050162957.12,1320809,102881.24486694897
2016-09-01,Empresario,78289048460.2,1313033759.69,453470,172644.38322314597
2016-09-01,Setor_Publico,95987310037.56999,752059403.02,864891,110981.97349442876
2016-09-01,outro,192670499684.84,5298395099.54,2620050,73536.9552813267
2016-10-01,Aposentado,14180681273.09,163220698.29,164276,86322.2946327522
2016-10-01,Empresa_Privada,135456123832.51,1109758112.17,1315831,102943.40521883889
2016-10-01,Empresario,77413668987.19,1376147051.96,448625,172557.63496726664
2016-10-01,Setor_Publico,94308423128.43,771062695.58,851619,110740.15860194522
2016-10-01,outro,192805226164.87,5504113831.92,2619160,73613.38221600436
2016-11-01,Aposentado,14160673072.74,162835992.49,164004,86343.46157862003
2016-11-01,Empresa_Privada,136814813308.12,1084362040.22,1325108,103248.04718416913
2016-11-01,Empresario,77666302666.99,1349570783.05,449604,172743.79824687948
2016-11-01,Setor_Publico,95063249968.8,747674674.41,855446,111127.11961807057
2016-11-01,outro,194637498583.76,5335288863.09,2644433,73602.73396367388
2016-12-01,Aposentado,14119031337.3,139361300.5,163566,86320.08692087597
2016-12-01,Empresa_Privada,138774625917.46,849722974.39,1340060,103558.51672123636
2016-12-01,Empresario,77639416157.48,1174963348.4,449973,172542.38844881803
2016-12-01,Setor_Publico,96051857439.26,615364635.65,861463,111498.52917566976
2016-12-01,outro,197312547677.36002,4548866793.16,2676185,73729.03879117475
2017-01-01,Aposentado,17162396466.76,193306119.18,210413,81565.28573215533
2017-01-01,Empresa_Privada,169233526397.18,1782558738.36,1771676,95521.71299785061
2017-01-01,Empresario,93692966719.31999,2073628872.68,633386,147923.96219575423
2017-01-01,Setor_Publico,99858575229.14,766622838.7,922458,108252.7066046801
2017-01-01,outro,145767631624.09,3112108329.2599998,1973932,73846.32886243802
2017-02-01,Aposentado,17152427830.71,206133134.46,210320,81553.9550718429
2017-02-01,Empresa_Privada,170648443589.3,2057870251.05,1783281,95693.52423387003
2017-02-01,Empresario,93870233515.02,2334510314.2,634711,147894.44883580087
2017-02-01,Setor_Publico,100480809326.83,837667552.46,927203,108369.80610160882
2017-02-01,outro,147004692596.73,3487384450.17,1984376,74081.06759844405
2017-03-01,Aposentado,17123564884.98,203153621.53,209730,81645.75828436561
2017-03-01,Empresa_Privada,171751277748.98,2065006132.58,1790888,95902.85810669344
2017-03-01,Empresario,93861276721.88,2300615885.09,634361,147961.92817950662
2017-03-01,Setor_Publico,100983609650.18,875762316.11,928881,108715.33560292437
2017-03-01,outro,148211587573.35,3539637213.57,1984858,74671.12890360419
2017-04-01,Aposentado,17086187976.53,215508144.0,209676,81488.52504115875
